0,0,53,63,321,204,0,0,0,0,0,1,0,,,,
0,1,53,63,321,204,0,0,0,0,0,1,0,,,,
0,2,53,63,321,204,0,0,0,0,0,1,0,,,,
0,3,53,63,321,204,0,0,0,0,0,1,0,,,,
1,0,53,63,321,204,0,0,0,0,0,1,0,,,,
1,1,53,63,321,204,0,0,0,0,0,1,0,,,,
1,2,53,63,321,204,0,0,0,0,0,1,0,,,,
1,3,53,63,321,204,0,0,0,0,0,1,0,,,,
2,0,53,63,321,204,0,0,0,0,0,1,0,,,,
2,1,53,63,321,204,0,0,0,0,0,1,0,,,,
2,2,53,63,321,204,0,0,0,0,0,1,0,,,,
2,3,53,63,321,204,0,0,0,0,0,1,0,,,,
3,0,53,63,321,204,0,0,0,0,0,1,0,,,,
3,1,53,63,321,204,0,0,0,0,0,1,0,,,,
3,2,53,63,321,204,0,0,0,0,0,1,0,,,,
3,3,53,63,321,204,0,0,0,0,0,1,0,,,,
0,0,53,63,313,200,0,0,0,0,0,1,0,,,,
0,1,53,63,313,200,0,0,0,0,0,1,0,,,,
0,2,53,63,313,200,0,0,0,0,0,1,0,,,,
0,3,53,63,313,200,0,0,0,0,0,1,0,,,,
1,0,53,63,313,200,0,0,0,0,0,1,0,,,,
1,1,53,63,313,200,0,0,0,0,0,1,0,,,,
1,2,53,63,313,200,0,0,0,0,0,1,0,,,,
1,3,53,63,313,200,0,0,0,0,0,1,0,,,,
2,0,53,63,313,200,0,0,0,0,0,1,0,,,,
2,1,53,63,313,200,0,0,0,0,0,1,0,,,,
2,2,53,63,313,200,0,0,0,0,0,1,0,,,,
2,3,53,63,313,200,0,0,0,0,0,1,0,,,,
3,0,53,63,313,200,0,0,0,0,0,1,0,,,,
3,1,53,63,313,200,0,0,0,0,0,1,0,,,,
3,2,53,63,313,200,0,0,0,0,0,1,0,,,,
3,3,53,63,313,200,0,0,0,0,0,1,0,,,,
0,0,53,63,332,213,0,0,0,0,0,1,0,,,,
0,1,53,63,332,213,0,0,0,0,0,1,0,,,,
0,2,53,63,332,213,0,0,0,0,0,1,0,,,,
0,3,53,63,332,213,0,0,0,0,0,1,0,,,,
1,0,53,63,332,213,0,0,0,0,0,1,0,,,,
1,1,53,63,332,213,0,0,0,0,0,1,0,,,,
1,2,53,63,332,213,0,0,0,0,0,1,0,,,,
1,3,53,63,332,213,0,0,0,0,0,1,0,,,,
2,0,53,63,332,213,0,0,0,0,0,1,0,,,,
2,1,53,63,332,213,0,0,0,0,0,1,0,,,,
2,2,53,63,332,213,0,0,0,0,0,1,0,,,,
2,3,53,63,332,213,0,0,0,0,0,1,0,,,,
3,0,53,63,332,213,0,0,0,0,0,1,0,,,,
3,1,53,63,332,213,0,0,0,0,0,1,0,,,,
3,2,53,63,332,213,0,0,0,0,0,1,0,,,,
3,3,53,63,332,213,0,0,0,0,0,1,0,,,,
0,0,53,63,324,209,0,0,0,0,0,1,0,,,,
0,1,53,63,324,209,0,0,0,0,0,1,0,,,,
0,2,53,63,324,209,0,0,0,0,0,1,0,,,,
0,3,53,63,324,209,0,0,0,0,0,1,0,,,,
1,0,53,63,324,209,0,0,0,0,0,1,0,,,,
1,1,53,63,324,209,0,0,0,0,0,1,0,,,,
1,2,53,63,324,209,0,0,0,0,0,1,0,,,,
1,3,53,63,324,209,0,0,0,0,0,1,0,,,,
2,0,53,63,324,209,0,0,0,0,0,1,0,,,,
2,1,53,63,324,209,0,0,0,0,0,1,0,,,,
2,2,53,63,324,209,0,0,0,0,0,1,0,,,,
2,3,53,63,324,209,0,0,0,0,0,1,0,,,,
3,0,53,63,324,209,0,0,0,0,0,1,0,,,,
3,1,53,63,324,209,0,0,0,0,0,1,0,,,,
3,2,53,63,324,209,0,0,0,0,0,1,0,,,,
